longitude,latitude,type,
116185527,40042272,3,
116424772,39971400,4,
116483758,39880158,2,
116148483,39755667,1,
116176167,40083688,4,
116334623,40037633,2,
116417323,39902585,2,
116626897,40307680,4,
116476392,39981680,4,
116955350,40291643,0,
116023960,39757412,3,
116451213,39880202,0,
116423620,39861478,2,
116427297,39968477,0,
116880165,40396863,3,
116263850,40095013,0,
116338367,39742875,1,
116276317,39784732,0,
116032140,39617678,1,
116325133,40050982,1,
116308373,39885042,1,
116289617,39939103,2,
115990300,39698088,0,
116420325,40022980,3,
116267583,39886598,3,
116532898,39692627,1,
116314317,39887673,3,
116354265,39950960,3,
116350682,39899393,0,
116070155,39715203,1,
116827963,40379237,1,
116179730,39698589,4,
116499097,39860943,4,
116100933,39955677,2,
116495505,39997703,4,
116443748,39921458,3,
116737190,40001810,4,
116353737,39985743,0,
116442427,39953775,2,
115930992,39654233,4,
115949285,39597702,3,
116057200,39725493,1,
116130567,39728913,4,
116368620,40009455,1,
116282127,39922487,2,
116172307,39924595,4,
116423945,39793530,0,
116272542,39895830,3,
116373935,39966847,1,
116376995,39949973,0,
116361907,39868502,3,
115897828,39573672,0,
116417716,39894371,0,
116071117,39941470,4,
116333728,39998937,4,
116090152,39933995,0,
116950100,40400378,2,
116954483,40190618,3,
116486707,39791118,0,
116683638,39871988,0,
116343717,39901880,3,
116424408,39788058,1,
116530167,39741098,4,
116160273,39681815,2,
116348053,40019788,2,
116284728,39812245,3,
116368545,39980635,0,
117002017,40141457,0,
116289233,39883007,4,
116349457,39934860,0,
116206272,39908968,4,
116673423,40103622,2,
116500713,40013613,2,
116367998,39992303,2,
116196883,40090657,0,
116225571,39930629,1,
115932333,39657710,2,
116548098,39944600,1,
116235473,39861788,1,
116336633,40027197,4,
116013075,40006195,3,
116089385,39956170,2,
116362950,39966645,3,
116222883,40049495,3,
116365378,39966534,2,
116537607,40023809,1,
115965443,39598137,4,
116040487,39754395,4,
116298243,39888667,2,
116446028,39874922,4,
116399687,39929248,1,
116498958,40003548,1,
116522405,40033662,1,
116202530,39819920,2,
116438013,40093093,1,
116351455,39738107,0,
116705800,40127465,1,
116472243,39930097,4,
116631780,40059913,3,
116212850,40223922,2,
115969700,40444707,3,
116562433,39919837,2,
116309105,40000680,2,
116314620,39891388,2,
116503228,40006168,3,
116388417,39894458,0,
116123050,39738307,4,
116302930,39954172,1,
116333137,39917340,4,
115946000,39599937,3,
116360768,39868383,3,
116222765,39903750,3,
116498677,39576880,1,
116456022,39932505,0,
116374622,39948817,0,
116200722,40240048,4,
116608217,40045407,0,
116020935,39886480,1,
116322048,39771637,0,
115992217,39653727,3,
116264373,39929630,3,
116465055,39998137,1,
116481470,39584500,0,
116457988,39995778,1,
116500097,40003160,1,
116479342,39912902,1,
115939815,39726167,2,
116197687,39660687,3,
116223515,40198033,4,
116328865,39763812,0,
116167328,40048212,4,
116339155,39777290,3,
116158583,39591503,1,
116498957,40005807,4,
116400302,39947608,3,
116284357,40105195,4,
116405880,39867825,0,
115776075,39525903,0,
116247032,39902338,1,
116372782,39842637,2,
116287505,39823755,2,
116417838,39983997,2,
116090575,39908217,3,
116100960,39766307,3,
116029450,39771590,3,
116382473,39967002,4,
116289312,39696012,1,
116742545,39784060,2,
116303805,39931495,0,
116546857,39762897,3,
116407712,40057988,1,
116454715,39918058,3,
116145270,40557713,1,
116335742,39937225,1,
116452953,39907030,0,
116775950,39751925,4,
116416800,39833180,3,
116248933,39945737,2,
115894857,39827913,1,
116884193,39806693,0,
116506442,39854532,2,
116039830,39755183,1,
116358942,39990117,2,
116548022,39922913,2,
115986077,39784902,4,
116440948,39831688,2,
